Cshunt,Ls2,W,Cs,Lp,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1e-13,1.5e-10,1.8e-05,5.2e-13,1.2e-10,0.02795,-5.072,-5.066,9.585,29.91,21.0,9.249
1e-13,1.5e-10,1.8e-05,5.2e-13,1.4e-10,0.02795,-5.849,-7.424,10.04,36.53,26.16,9.729
1e-13,1.5e-10,1.8e-05,5.2e-13,1.6e-10,0.02795,-6.769,-9.619,10.13,41.42,29.52,9.994
1e-13,1.5e-10,1.8e-05,5.2e-13,1.8e-10,0.02795,-7.72,-10.8,10.05,44.57,31.1,10.13
1e-13,1.5e-10,1.8e-05,5.2e-13,2.2e-10,0.02795,-9.435,-9.907,9.688,46.95,32.34,10.22
1e-13,1.5e-10,1.8e-05,5.2e-13,2.4e-10,0.02795,-10.14,-9.007,9.494,46.88,32.08,10.21
1e-13,1.5e-10,1.8e-05,5.2e-13,2.6e-10,0.02795,-10.74,-8.203,9.309,46.37,31.51,10.18
1e-13,1.5e-10,1.8e-05,5.2e-13,2.8e-10,0.02795,-11.23,-7.533,9.137,45.63,30.79,10.14
1e-13,1.5e-10,1.8e-05,5.2e-13,3e-10,0.02795,-11.64,-6.982,8.979,44.79,30.01,10.1
1e-13,1.5e-10,1.8e-05,5.4e-13,2e-10,0.02795,-8.588,-10.78,9.893,46.26,32.02,10.19
1e-13,1.5e-10,1.8e-05,5.4e-13,1e-10,0.02795,-4.548,-3.056,8.492,21.94,14.42,8.358
1e-13,1.5e-10,1.8e-05,5.4e-13,1.2e-10,0.02795,-5.052,-5.033,9.579,29.77,20.89,9.232
1e-13,1.5e-10,1.8e-05,5.4e-13,1.4e-10,0.02795,-5.821,-7.393,10.04,36.39,26.06,9.715
1e-13,1.5e-10,1.8e-05,5.4e-13,1.6e-10,0.02795,-6.736,-9.616,10.14,41.3,29.45,9.982
1e-13,1.5e-10,1.8e-05,5.4e-13,1.8e-10,0.02795,-7.685,-10.85,10.06,44.5,31.06,10.13
1e-13,1.5e-10,1.8e-05,5.4e-13,2.2e-10,0.02795,-9.403,-9.997,9.702,46.95,32.32,10.21
1e-13,1.5e-10,1.8e-05,5.4e-13,2.4e-10,0.02795,-10.11,-9.088,9.509,46.91,32.09,10.2
1e-13,1.5e-10,1.8e-05,5.4e-13,2.6e-10,0.02795,-10.71,-8.274,9.324,46.41,31.53,10.18
